Modelo,MAE,MSE,RMSE,R2
Random_Forest,0.32754256845930246,0.2553684927247781,0.5053399773665033,0.8051230593157366
Gradient_Boosting,0.3716425690425596,0.2939973248643864,0.5422152016168362,0.7756446042829697
Ridge,0.5331931195789734,0.555854858943597,0.7455567442814779,0.5758157428913684
Regresion_Lineal,0.5332001304956565,0.5558915986952444,0.7455813830127764,0.5757877060324508
