Variable,Importancia
MedInc,0.6042586787491006
AveOccup,0.12283523722210335
Longitude,0.1098527726171104
Latitude,0.09853344698458877
HouseAge,0.03411280390777532
AveRooms,0.023947888041461945
AveBedrms,0.005105586444774611
Population,0.0013535860330850598
