Variable,Importancia
Latitude,0.8961675853212555
Longitude,0.8690707430381673
MedInc,0.8543267867471515
AveBedrms,0.3390079357063478
AveRooms,0.29421035800993023
HouseAge,0.12262397117576128
AveOccup,0.040833015809363764
Population,0.002282205955922128
