Variable,Importancia
Latitude,0.8969288766386659
Longitude,0.8698417752417187
MedInc,0.8543830309268551
AveBedrms,0.33925949059448474
AveRooms,0.2944101344732998
HouseAge,0.1225462380784079
AveOccup,0.040829103085087366
Population,0.002307723145830248
